Name_anime;Count_of_series;Genre;Topics;Years;Age_limit
Фантастическая звезда онлайн 2;37;боевик,повседневность,фантастика;игры,космос,школа;2016,2019;16
Бэм;12;боевик,мистика;демоны;2019;16
Этот чудесный мир;12;приключения,боевик;-;2021;18
Джибиэйт;12;боевик,фэнтези;боевые искусства,самураи,ужасы;2020;18
Доктор Рамунэ - специалист по таинственным болезням;12;комедия,мистика,психология;сёнен;2021;16
Канон;37;повседневность,романтика,драма,мистика;-;2002,2006;
Исчезнувший город;12;приключения,боевик,драма,фэнтези,детектив;-;2019;16
Волшебник-воин Орфен;72;приключения,боевик,драма,фэнтези;боевые искусства,демоны,магия,сёнен;1998,1999,2020,2021;16
Танцуй, танцуй, танцор;11;драма;-;2022;16
Детская игрушка;102;комедия,романтика,драма;сёдзё;1996;16
Драгон Квест: Приключения Дая;88;приключения,боевик,фэнтези;сёнен;2020;16
Королевский рейд: Наследники воли;26;приключения,боевик,фэнтези;магия;2020;18
Оккультные служащие полуночи;12;фэнтези,мистика,детектив;демоны,сёдзё;2019;16
Ревижены;12;боевик,фантастика;меха;2019;16
Дело ювелира Ричарда;12;детектив;-;2020;16
Слушатели;12;фантастика;меха,музыка;2020;16
Коидзуми любит рамен;12;комедия;-;2018;16
Фармацевт из параллельного мира;3;фэнтези;-;2022;16
Семёрка идолов;45;повседневность,драма;музыка;2018,2020,2021;16
Чёрный призыватель;4;боевик,фэнтези;-;2022;18
Рыбалка для школьниц после занятий;12;комедия,повседневность;спорт,школа;2020;16
Расцвет идолов;12;повседневность;музыка;2021;18
Планета Уит;12;боевик,фантастика;меха;2018;16
Измерение 18;13;фантастика,детектив;-;2017;18
Мой сосед - бог разрушения!;12;комедия,повседневность;школа;2020;16
Гипнотический микрофон: Рэп-баттл дивизионов;13;боевик,повседневность,фантастика;музыка;2020;18
24-й округ Токио;12;фантастика,детектив;суперсила;2022;16
Самурай-гимнаст;11;повседневность;спорт;2020;16
Любовь и продюсер;12;романтика,фантастика,детектив;суперсила;2020;16
И всё же, грешник танцует с драконом;12;боевик,драма,фантастика,фэнтези;-;2018;18
Сага о Гортензии;12;приключения,боевик,фэнтези;магия;2021;16
Реквием по Королю Роз;24;боевик,драма,мистика;историческое,сёдзё;2022;16
Гранбелм;13;фэнтези,мистика;магия,меха;2019;16
Дракон в поисках дома;12;комедия,фэнтези;сёнен;2021;18
Медленная петля;12;повседневность;спорт;2022;16
Бюро паранормальных расследований Мухё и Роджи;24;боевик,комедия,драма,мистика,детектив;сёнен;2018,2020;16
Революция семи рыцарей: Наследники героев;12;приключения,боевик,фэнтези;магия;2021;18
Стать настоящей героиней!;12;повседневность;школа;2022;16
Литераторы и алхимики: Шестерни судей;13;приключения,боевик,фэнтези;-;2020;16
Голубые небеса Ромео;33;приключения,повседневность,драма;историческое;1995;16
Инспекторы чудес Ватикана;12;драма,мистика,детектив;-;2017;18
Клуб настольных игр;12;комедия,повседневность;игры,школа,сёнен;2019;16
Специальный отдел криминальных расследований: Токунана;12;боевик,фэнтези;вампиры,полиция;2019;16
Конан - мальчик из будущего;26;приключения,драма,фантастика;-;1978;16
Вампир в саду;5;боевик;вампиры;2022;16
Фантом в сумерках;12;боевик,мистика;вампиры;2018;16
Куроицу из отдела сверхчеловеческого развития;12;комедия,фэнтези;-;2022;16
Музыкальная школа звёзд;36;повседневность;музыка,школа;2015,2017,2019;16
Контратака женщины-полицейского;13;комедия,повседневность;полиция;2022;18
Сумасшедшие ребята;11;комедия,повседневность;школа;2019;16
В сердце куноичи Цубаки;13;комедия;сёнен;2022;16
Потерянная песня;12;драма,фэнтези;-;2018;16
Девушки на линии фронта;12;боевик,драма,фантастика;военное;2022;16
Звёзды ансамбля!;24;повседневность;музыка,школа;2019;16
Давайте тоже слепим кружку;24;повседневность;школа;2021;16
Полководцы Сигрдрифа;12;боевик;военное;2020;18
22 на 7;12;повседневность;музыка;2020;16
Сумеречный разум;36;драма,фантастика,мистика,детектив,психология;-;2006,2021;18
Лазурные огни;12;повседневность,фэнтези;музыка;2020;18
Девичьи кричалки!;12;комедия,повседневность;школа,спорт;2018;16
Прощай, мой дорогой Крамер;13;драма;сёнен,спорт;2021;16
Зет Икс: Зажигание;24;приключения,фантастика,фэнтези;игры,сёнен,школа;2014,2019;16
Этот противный целитель!;12;приключения,боевик,комедия,фэнтези;-;2022;16
Деррида, покоривший время. RErideD;12;боевик,драма,фантастика;-;2018;16
Безумное погружение: Потерянное дитя;12;фантастика;-;2021;18
Будокан скажет вам, когда я умру;12;комедия,повседневность;музыка,сёдзё;2020;18
Менеджер среднего звена Тонэгава;24;комедия,драма,психология;пародия;2018;16
Ведущие звёзды;12;комедия,драма;спорт,школа;2021;18
Небесная машина Пандора;26;фантастика;меха;2018;16
Клан девяти;12;боевик,фантастика;спорт;2022;16
Отбор проектов;13;повседневность;музыка;2021;16
Стеклянная маска;51;драма;сёдзё;2005;
Путь назад;24;боевик,фэнтези;меха;2021;18
Президент, пришло время для битвы!;12;приключения,боевик,фэнтези;-;2020;16
Винтовка прекрасна;12;комедия,повседневность;школа;2019;16
Двойной удар: Даг и Кирилл;13;боевик,комедия,фантастика;полиция;2018;18
Фруктовый пирог: Айдолы-неудачницы;12;повседневность;музыка;2020;16
Люцифер и Бисквитный Молот;3;приключения,боевик,комедия,драма,психология;-;2022;16
Визуальная тюрьма;12;мистика;вампиры,музыка;2021;16
Бедственная правда;12;боевик,фэнтези;магия;2020;18
Птичье крыло: История гольфисток;13;повседневность;спорт;2022;16
РобиХати;12;приключения,комедия,фантастика;космос;2019;16
Мав-Лав: Альтернатива;48;боевик,драма,фантастика;военное,меха;2012,2016,2021;18
Второй Мэйджор;50;комедия,драма;сёнен,спорт;2018,2020;16
А3! Весна и лето;24;повседневность,драма;музыка;2020;16
Проект Скард: Шрам Прэйтер;13;боевик;суперсила;2021;18
Тамаёми;12;повседневность;спорт,школа;2020;16
Игра с нулевым счётом;15;повседневность;спорт;2022;18
История Мерк;12;приключения,боевик,фэнтези;магия;2018;16
Мини-футбол для мальчиков;12;повседневность;спорт;2022;16
Прекрасная бабочка: Юный Нобунага;12;боевик,драма;историческое,самураи;2019;16
Девять золушек в августе;12;повседневность;школа,спорт;2019;16
Детективное агентство дятла;12;детектив;историческое;2020;16
Серебряный клык;47;приключения,боевик,драма;сёнен;1986,2005;16
Уиз;13;боевик,фантастика;музыка;2019;16
За мной, мои герои: часть истины;12;романтика,детектив;-;2019;16
Войны Сакуры;37;приключения,фантастика;меха;2000,2020;16
Девушка-целитель;12;повседневность;музыка;2022;16
Гордость оранжевых!;12;повседневность;спорт;2021;16
Парень из эпохи Бакумацу;24;приключения;историческое,самураи;2018,2019;16
Титры!;24;повседневность;музыка;2022;16
Тама: откуда же он взялся?;11;повседневность;-;2020;16
Повесть о соседях;62;комедия,повседневность,романтика,драма;сёдзё;1995,2005;16
Микс: История Мэйсэй;24;повседневность,романтика,драма;школа,сёнен,спорт;2019;16
Охотник за душами;23;приключения,фэнтези;демоны,сёнен;2018;16
Ода Корица Нобунага;12;комедия,повседневность;историческое;2020;16
Буччигирэ!;4;боевик;самураи;2022;16
Цестус: Римский боец;11;боевик,драма;историческое;2021;18
Рыцари усердия;12;повседневность;спорт,школа;2019;16
Фантазия о Троецарствии: Духовность небес;12;фэнтези;историческое;2022;16
Артисты: конкурс песен;12;повседневность;музыка,школа;2019;16
Меч Жёлтого императора: Бледное сияние;13;приключения,боевик,фэнтези;боевые искусства,демоны,магия;2018;16
Солнечная улыбка Арснотории!;4;боевик;-;2022;16
Прима-кукла;5;повседневность,фантастика;-;2022;16
АйТю: Звёздная сцена;12;комедия,повседневность;музыка,школа;2021;16
Да здравствует Амитабха: Лотус Утены;12;фэнтези;-;2019;16
Гэкидол;12;повседневность,фантастика;музыка;2021;18
Поэзия теней;65;фэнтези;игры;2020,2022;16
Девушки в доспехах;12;боевик,фэнтези;военное;2021;18
Новый мастер кулинарии;12;комедия;сёнен;2019;16
Разминка!;12;комедия,повседневность;-;2020;18
Аргонавис из Ура мечте!;13;повседневность,драма;музыка;2020;16
Вечная воля;52;боевик,комедия,фэнтези;боевые искусства,историческое;2020;16
Руководство сотен демонов;24;приключения,фэнтези,мистика,детектив;историческое;2020,2021;16
Экстремальные сердца;4;повседневность;музыка,спорт;2022;16
