Name_anime;Count_of_series;Genre;Topics;Years;Age_limit
Дорога юности;12;комедия,повседневность,романтика,драма;сёдзё,школа;2014;16
Дотянуться до тебя;37;повседневность,романтика,драма;сёдзё,школа;2009,2011;16
Мелочи жизни;26;комедия,повседневность;школа,сёнен;2011;16
Юри на льду;12;комедия,повседневность;спорт;2016;16
Пять невест;24;комедия,романтика;сёнен,школа;2019,2021;16
Взрыв!;12;боевик,драма,фантастика,психология;-;2012;18
Военная хроника маленькой девочки;12;боевик,драма,фантастика;военное,магия;2017;18
Невеста чародея;24;повседневность,фэнтези,мистика;магия,сёнен;2017;16
Башня Бога;13;приключения,боевик,драма,фэнтези,детектив;-;2020;16
Стражи Барьера;25;боевик,фэнтези,мистика;вампиры,сёнен,суперсила;2015,2017;18
Царь горы;13;приключения,боевик,комедия,фантастика,фэнтези,мистика;боевые искусства;2020;16
Связь сердец;17;комедия,повседневность,романтика,драма,мистика;школа;2012;16
Рассвет Йоны;24;приключения,боевик,комедия,романтика,фэнтези;сёдзё;2014;16
Месть Масамуне-куна!;12;приключения,комедия,романтика;сёнен,школа;2017;16
Волчица и пряности;25;приключения,романтика,фэнтези;историческое;2008;16
Индекс волшебства;74;боевик,комедия,драма,фантастика;магия,суперсила;2008,2010,2018;18
Мастер муси;47;приключения,повседневность,фэнтези,мистика,детектив;историческое;2005,2014;16
Выдающиеся звери;24;повседневность,драма,психология;сёнен,школа;2019,2021;18
Когда плачут цикады;116;мистика,детектив,триллер,психология;ужасы;2006,2007,2009,2020,2021;18
Повседневная жизнь старшеклассников;12;комедия,повседневность;школа;2012;16
Вольный стиль!;37;комедия,повседневность,драма;школа,спорт;2013,2014,2018;16
Фури-кури;12;боевик,комедия,фантастика,психология;меха,пародия;2000,2018;16
Орендж;13;повседневность,романтика,драма,фантастика;сёдзё,школа;2016;16
Кабанери железной крепости;12;боевик,драма,фэнтези,мистика;ужасы;2016;18
Крутой учитель Онидзука;43;комедия,повседневность,драма;сёнен,школа;1999;18
Банановая рыба;24;приключения,боевик,драма;сёдзё;2018;18
Эта фарфоровая кукла влюбилась;12;повседневность,романтика;школа;2022;18
Врата: там бьются наши воины;24;приключения,боевик,комедия,фэнтези;военное;2015;18
Из нового света;25;драма,фантастика,мистика,детектив,психология;ужасы;2012;18
Инуяша;241;приключения,боевик,комедия,романтика,фэнтези,мистика;демоны,историческое,магия,сёнен;2000,2009,2020;16
Ямада и семь ведьм;12;комедия,повседневность,романтика,мистика,детектив;сёнен,школа;2015;16
Проект Кей;26;приключения,боевик,комедия,фантастика;суперсила;2012,2015;16
Для тебя, Бессмертный;20;приключения,драма,мистика;сёнен;2021;18
Я - Сакамото, а что?;13;комедия,повседневность;школа;2016;16
Корзинка с фруктами;63;комедия,повседневность,романтика,драма,мистика;сёдзё;2019,2020,2021;16
У Коми проблемы с общением;24;комедия,повседневность;сёнен,школа;2021,2022;16
Ускоренный мир;26;приключения,боевик,повседневность,романтика,фантастика;игры,школа;2012;16
Связанные;12;приключения,комедия,драма,фантастика,триллер,психология;-;2016;16
Триган;26;приключения,боевик,комедия,драма,фантастика;сёнен;1998;16
Гримгал пепла и иллюзий;12;приключения,фэнтези;-;2016;16
Не издевайся, Нагаторо;12;комедия,повседневность,романтика;-;2021;16
Хеллсинг: Война с нечистью;13;боевик,мистика,триллер;вампиры,ужасы;2001;18
Необъятный океан;12;комедия,повседневность;-;2018;16
Эксперименты Лэйн;13;драма,фантастика,мистика,детектив,психология;-;1998;18
Признания;12;комедия,повседневность,романтика;сёнен,школа;2017;16
Ди Грэй-мен;116;приключения,боевик,комедия,мистика;демоны,сёнен,суперсила;2006,2016;16
Ну не может моя сестрёнка быть такой милой;32;комедия,повседневность;-;2010,2013;16
Домекано;12;романтика,драма;сёнен,школа;2019;18
Приоритет чудо-яйца;11;драма,фэнтези,психология;-;2021;18
Кровавый парень;10;боевик,комедия,мистика;демоны,вампиры;2013;16
Хроники Акаши;12;приключения,фэнтези;магия,школа;2017;18
91 день;12;драма,триллер;историческое;2016;18
Двуличная сестрёнка Умару!;25;комедия,повседневность;школа;2015,2017;16
Непризнанный школой владыка демонов!;13;боевик,фэнтези;демоны,магия,школа;2020;18
Мартовский лев;44;повседневность,драма;игры;2016,2017;16
Тайные желания отвергнутых;12;романтика,драма;школа;2017;18
Отчёт о буйстве духов;112;боевик,комедия,мистика;демоны,боевые искусства,сёнен;1992;16
Счастливая звезда;24;комедия,повседневность;пародия,школа;2007;16
Баракамон;24;комедия,повседневность;сёнен;2014,2016;16
Моя история!;24;комедия,романтика;сёдзё;2015;16
Унеси меня на Луну;13;комедия,романтика;сёнен;2020;16
Не моя вина, что я не популярна!;13;комедия,повседневность;школа;2013;16
Красноволосая принцесса Белоснежка;24;романтика,драма,фэнтези;сёдзё;2015,2016;16
Садистская смесь;12;комедия,повседневность;-;2017;16
Великолепный парк Амаги;14;комедия,драма,фэнтези;магия;2014;16
Скажи: Я люблю тебя;13;повседневность,романтика,драма;сёдзё,школа;2012;16
Дурни, тесты, аватары;26;комедия,повседневность,романтика;суперсила,школа;2010,2011;16
Геймеры!;12;комедия,повседневность,романтика;школа;2017;16
Клетки за работой;21;комедия;сёнен;2018,2021;16
Одному лишь Богу ведомый мир;36;комедия,романтика,мистика;сёнен;2010,2011,2013;16
Герои шестицветия;12;приключения,боевик,фэнтези,детектив;магия;2015;16
Эрго Прокси;23;фантастика,детектив,психология;-;2006;18
Академия ведьмочек;25;приключения,комедия,фэнтези;магия,школа;2017;
Ангел кровопролития;16;приключения,триллер,психология;ужасы;2018;18
Очень приятно - Бог;31;комедия,романтика,фэнтези,мистика;демоны,сёдзё;2012,2015;16
Бакуман;75;комедия,повседневность;сёнен;2010,2011,2012;16
Арифурэта: Сильнейший ремесленник в мире;25;приключения,боевик,фэнтези;-;2019,2022;16
Покемон;1176;приключения,комедия,фантастика,фэнтези;-;1997,2002,2010,2014,2016,2020;12
Инуяшики;11;боевик,драма,фантастика,психология;-;2017;18
Рыцарь-вампир;26;романтика,драма,мистика,детектив;вампиры,сёдзё;2008;16
Безоблачное завтра;26;романтика,драма,фэнтези;-;2013;16
Некий научный Рейлган;73;боевик,комедия,фантастика;суперсила;2009,2013,2020;16
Буря потерь;24;боевик,драма,фантастика,фэнтези,детектив,психология;магия,сёнен;2012;16
Восемьдесят шесть;24;боевик,драма,фантастика;военное,меха;2021;18
Мастера меча онлайн: альтернатива;12;приключения,боевик,фантастика,фэнтези;военное,игры;2018;16
Вельзепуз;60;приключения,боевик,комедия,фэнтези;демоны,школа,сёнен;2011;16
Берсерк;49;боевик,фэнтези,мистика,триллер;военное,демоны,магия,ужасы;1997,2016,2017;18
Усопшие;22;мистика,детектив,триллер,психология;вампиры,ужасы;2010;18
Великий притворщик;23;приключения,боевик,комедия,детектив,психология;-;2020;18
Полулюди;26;боевик,мистика,детектив,триллер;ужасы;2016;18
Дети Индиго из другого мира;10;боевик,комедия,фэнтези,мистика;-;2013;16
Трогательный комплекс;24;комедия,романтика;сёдзё;2007;16
Восточный Эдем;11;боевик,романтика,драма,фантастика,детектив,триллер;-;2009;18
Гангста;12;боевик,драма,фантастика,детектив;-;2015;18
Учитель-мафиози Реборн;203;боевик,комедия;сёнен,суперсила;2006;16
Поддразнивание Такаги;37;комедия,повседневность,романтика;сёнен,школа;2018,2019,2022;16
Этот герой неуязвим, но очень осторожен;12;приключения,боевик,комедия,фэнтези;-;2019;16
Истории мечей;12;приключения,боевик,романтика;боевые искусства,историческое;2010;18
Жгучий взор Шаны;73;боевик,повседневность,романтика,драма,фэнтези,мистика;школа;2005,2007,2011;16
Пожиратель богов;13;боевик,фантастика,фэнтези;военное;2015;18
Я побрился. И приютил старшеклассницу;13;романтика,драма;-;2021;18
Скитальцы;12;боевик,фэнтези,мистика;историческое,самураи;2016;18
Меж двух огней;13;комедия,повседневность,романтика;школа;2013;16
Готика;24;романтика,драма,детектив;историческое;2011;18
Туалетный мальчик Ханако;12;комедия,повседневность,мистика;сёнен,школа;2020;16
Евангелион по-новому;3;боевик,драма,фантастика,психология;меха;2007,2009,2012;16
Внук мудреца;12;боевик,комедия,романтика,фэнтези;магия;2019;16
Мириады цветов фантомного мира;13;боевик,комедия,повседневность,фэнтези;-;2016;16
Первый шаг;127;драма;сёнен,спорт;2000,2009,2013;16
Тетрадь дружбы Нацумэ;74;повседневность,драма,фэнтези,мистика;демоны,сёдзё;2008,2009,2011,2012,2016,2017;16
Альдноа Зеро;24;боевик,фантастика;военное,космос,меха;2014,2015;18
Прекрасна, как луна;12;повседневность,романтика;школа;2017;16
Лис из секретной службы и я;13;комедия,романтика,мистика;сёнен;2012;16
Игра Дарвина;11;боевик,фантастика,детектив;сёнен,суперсила;2020;18
В другом мире со смартфоном;12;приключения,комедия,романтика,фэнтези;магия;2017;16
Две звезды онмёджи;50;боевик,романтика,фэнтези,мистика;сёнен;2016;16
